n,value,exp. time,thr. time,c
1,1,0,0.002,0.0,
2,1,0,0.004,0.0,
3,2,0,0.008,0.0,
4,3,0,0.016,0.0,
5,5,0,0.032,0.0,
6,8,0,0.064,0.0,
7,13,0,0.128,0.0,
8,21,0,0.256,0.0,
9,34,0,0.512,0.0,
10,55,0,1.024,0.0,
11,89,0,2.048,0.0,
12,144,0,4.096,0.0,
13,233,0,8.192,0.0,
14,377,0,16.384,0.0,
15,610,0,32.768,0.0,
16,987,0,65.536,0.0,
17,1597,0,131.072,0.0,
18,2584,0,262.144,0.0,
19,4181,0,524.288,0.0,
20,6765,0,1048.576,0.0,
21,10946,0,2097.152,0.0,
22,17711,0,4194.304,0.0,
23,28657,0,8388.608,0.0,
24,46368,0,16777.216,0.0,
25,75025,1,33554.432,2.9802322387695312E-5,
26,121393,1,67108.864,1.4901161193847656E-5,
27,196418,1,134217.728,7.450580596923828E-6,
28,317811,1,268435.456,3.725290298461914E-6,
29,514229,2,536870.912,3.725290298461914E-6,
30,832040,5,1073741.824,4.656612873077393E-6,
31,1346269,7,2147483.648,3.259629011154175E-6,
32,2178309,11,4294967.296,2.561137080192566E-6,
33,3524578,17,8589934.592,1.979060471057892E-6,
34,5702887,30,1.7179869184E7,1.7462298274040222E-6,
35,9227465,46,3.4359738368E7,1.3387762010097504E-6,
36,14930352,76,6.8719476736E7,1.1059455573558807E-6,
37,24157817,124,1.37438953472E8,9.022187441587448E-7,
38,39088169,205,2.74877906944E8,7.457856554538012E-7,
39,63245986,317,5.49755813888E8,5.766196409240365E-7,
40,102334155,509,1.099511627776E9,4.6293280320242047E-7,
41,165580141,834,2.199023255552E9,3.792592906393111E-7,
42,267914296,1304,4.398046511104E9,2.964952727779746E-7,
43,433494437,2230,8.796093022208E9,2.5352164811920375E-7,
44,701408733,3459,1.7592186044416E10,1.9662138583953492E-7,
45,1134903170,6106,3.5184372088832E10,1.7354295778204687E-7,
46,1836311903,9237,7.0368744177664E10,1.312656650043209E-7,
47,2971215073,14771,1.40737488355328E11,1.049542674991244E-7,
48,4807526976,23943,2.81474976710656E11,8.50626236115204E-8,
49,7778742049,38622,5.62949953421312E11,6.860645385131647E-8,
50,12586269025,63066,1.125899906842624E12,5.60138602168081E-8,
