n, val rec,Recursion, val dyn,Dynamic Programming
1,1,0,1,0
2,1,0,1,0
3,2,0,2,1
4,3,0,3,0
5,5,0,5,0
6,8,0,8,0
7,13,0,13,0
8,21,0,21,0
9,34,0,34,0
10,55,0,55,0
11,89,0,89,0
12,144,0,144,0
13,233,0,233,0
14,377,0,377,0
15,610,0,610,0
16,987,0,987,0
17,1597,1,1597,0
18,2584,0,2584,0
19,4181,0,4181,0
20,6765,0,6765,0
21,10946,0,10946,0
22,17711,1,17711,0
23,28657,1,28657,0
24,46368,0,46368,0
25,75025,1,75025,0
26,121393,1,121393,0
27,196418,2,196418,0
28,317811,2,317811,0
29,514229,4,514229,0
30,832040,7,832040,0
31,1346269,11,1346269,0
32,2178309,16,2178309,0
33,3524578,27,3524578,0
34,5702887,43,5702887,0
35,9227465,68,9227465,0
36,14930352,112,14930352,0
37,24157817,143,24157817,0
38,39088169,222,39088169,0
39,63245986,360,63245986,0
40,102334155,565,102334155,0
41,165580141,891,165580141,0
42,267914296,1475,267914296,0
43,433494437,2385,433494437,0
44,701408733,3944,701408733,0
45,1134903170,6177,1134903170,0
46,1836311903,10097,1836311903,0
47,2971215073,16224,2971215073,0
48,4807526976,26152,4807526976,0
49,7778742049,42149,7778742049,0
50,12586269025,68206,12586269025,0
