n,value,exp. time,thr. time,c
1,1,0,0.001,0.0,
2,1,0,0.002,0.0,
3,2,0,0.003,0.0,
4,3,0,0.004,0.0,
5,5,0,0.005,0.0,
6,8,0,0.006,0.0,
7,13,0,0.007,0.0,
8,21,0,0.008,0.0,
9,34,0,0.009,0.0,
10,55,0,0.01,0.0,
11,89,0,0.011,0.0,
12,144,0,0.012,0.0,
13,233,0,0.013,0.0,
14,377,0,0.014,0.0,
15,610,0,0.015,0.0,
16,987,0,0.016,0.0,
17,1597,0,0.017,0.0,
18,2584,0,0.018,0.0,
19,4181,0,0.019,0.0,
20,6765,0,0.02,0.0,
21,10946,0,0.021,0.0,
22,17711,0,0.022,0.0,
23,28657,0,0.023,0.0,
24,46368,0,0.024,0.0,
25,75025,0,0.025,0.0,
26,121393,0,0.026,0.0,
27,196418,0,0.027,0.0,
28,317811,0,0.028,0.0,
29,514229,0,0.029,0.0,
30,832040,0,0.03,0.0,
31,1346269,0,0.031,0.0,
32,2178309,0,0.032,0.0,
33,3524578,0,0.033,0.0,
34,5702887,0,0.034,0.0,
35,9227465,0,0.035,0.0,
36,14930352,0,0.036,0.0,
37,24157817,0,0.037,0.0,
38,39088169,0,0.038,0.0,
39,63245986,0,0.039,0.0,
40,102334155,0,0.04,0.0,
41,165580141,0,0.041,0.0,
42,267914296,0,0.042,0.0,
43,433494437,0,0.043,0.0,
44,701408733,0,0.044,0.0,
45,1134903170,0,0.045,0.0,
46,1836311903,0,0.046,0.0,
47,2971215073,0,0.047,0.0,
48,4807526976,0,0.048,0.0,
49,7778742049,0,0.049,0.0,
50,12586269025,0,0.05,0.0,
