n,value,exp. time,thr. time,c
1,1,0,0.002,0.0,
2,1,0,0.004,0.0,
3,2,0,0.008,0.0,
4,3,0,0.016,0.0,
5,5,0,0.032,0.0,
6,8,0,0.064,0.0,
7,13,0,0.128,0.0,
8,21,0,0.256,0.0,
9,34,0,0.512,0.0,
10,55,0,1.024,0.0,
11,89,0,2.048,0.0,
12,144,0,4.096,0.0,
13,233,0,8.192,0.0,
14,377,0,16.384,0.0,
15,610,0,32.768,0.0,
16,987,0,65.536,0.0,
17,1597,0,131.072,0.0,
18,2584,0,262.144,0.0,
19,4181,1,524.288,0.0019073486328125,
20,6765,0,1048.576,0.0,
21,10946,0,2097.152,0.0,
22,17711,0,4194.304,0.0,
23,28657,1,8388.608,1.1920928955078125E-4,
24,46368,0,16777.216,0.0,
25,75025,0,33554.432,0.0,
26,121393,1,67108.864,1.4901161193847656E-5,
27,196418,1,134217.728,7.450580596923828E-6,
28,317811,2,268435.456,7.450580596923828E-6,
29,514229,3,536870.912,5.587935447692871E-6,
30,832040,4,1073741.824,3.725290298461914E-6,
31,1346269,6,2147483.648,2.7939677238464355E-6,
32,2178309,10,4294967.296,2.3283064365386963E-6,
33,3524578,17,8589934.592,1.979060471057892E-6,
34,5702887,27,1.7179869184E7,1.57160684466362E-6,
35,9227465,48,3.4359738368E7,1.3969838619232178E-6,
36,14930352,77,6.8719476736E7,1.1204974725842476E-6,
37,24157817,117,1.37438953472E8,8.512870408594608E-7,
38,39088169,190,2.74877906944E8,6.912159733474255E-7,
39,63245986,321,5.49755813888E8,5.838955985382199E-7,
40,102334155,483,1.099511627776E9,4.3928594095632434E-7,
41,165580141,767,2.199023255552E9,3.48791218129918E-7,
42,267914296,1282,4.398046511104E9,2.914930519182235E-7,
43,433494437,2072,8.796093022208E9,2.3555912775918841E-7,
44,701408733,3802,1.7592186044416E10,2.1611867850879207E-7,
45,1134903170,6176,3.5184372088832E10,1.7553247744217515E-7,
46,1836311903,9186,7.0368744177664E10,1.305409114138456E-7,
47,2971215073,15173,1.40737488355328E11,1.0781064929688E-7,
48,4807526976,23357,2.81474976710656E11,8.29807333957433E-8,
49,7778742049,38310,5.62949953421312E11,6.80522305174236E-8,
50,12586269025,60997,1.125899906842624E12,5.417621906644854E-8,
